ruta,extension,tamano_kb,lineas
uploads/marca_1784408813.png,.png,6.04,
uploads/perfiles/ft.jpeg,.jpeg,48.42,
uploads/perfiles/user_2c296d6c-652d-4f02-aa8c-1ac9c7b13c9e_1785200600.jpeg,.jpeg,48.42,
uploads/prod_1784343838.png,.png,63.65,
uploads/prod_1784386952.png,.png,63.65,
uploads/prod_1784387310.png,.png,63.65,
uploads/prod_1784389146.png,.png,312.87,
uploads/prod_cb2c225c-bedb-4f8d-a5fe-944c00dbeedc_1784390846_0.png,.png,312.87,
uploads/prod_cb2c225c-bedb-4f8d-a5fe-944c00dbeedc_1784390846_1.png,.png,63.65,
uploads/prod_d954dfe2-ebd1-48f9-8ecf-891e6de1cd7d_1784395203_0.png,.png,208.63,
uploads/prod_d954dfe2-ebd1-48f9-8ecf-891e6de1cd7d_1784395203_1.png,.png,281.21,
uploads/prod_d954dfe2-ebd1-48f9-8ecf-891e6de1cd7d_1784395203_2.png,.png,422.31,
uploads/prod_d954dfe2-ebd1-48f9-8ecf-891e6de1cd7d_1784395203_3.png,.png,42.85,
uploads/prod_d954dfe2-ebd1-48f9-8ecf-891e6de1cd7d_1784395203_4.png,.png,39.4,
verificar_phpmailer.php,.php,3.65,93
wishlist.php,.php,6.17,50
